TransactionId;MerchantCnpj;CheckoutCode;CipheredCardNumber;AmountInCent;Installments;AcquirerName;PaymentMethod;CardBrandName;Status;StatusInfo;CreatedAt;AcquirerAuthorizationDateTime
52;02012862002537;38012;************1753;8000;1;Redecard;Débito à Vista;Maestro;Recusada;Senha Inválida - A senha digitada pelo cliente não confere.;2018-03-01 03:31:07.000;2018-03-01 00:31:08.000
53;13941066000128;47859;************9205;13750;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:30:37.000;2018-03-01 00:31:21.000
54;11158594000180;26106;************8297;1600;1;Redecard;Crédito à Vista;Hipercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:30:17.000;2018-03-01 00:30:19.000
55;10267408000188;23690;************4208;1800;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:28:45.000;2018-03-01 00:28:47.000
56;15593743000351;31700;************7437;900;1;Getnet;Crédito à Vista;Mastercard;Recusada;Saldo Insuficiente - O saldo do cliente ou limite de crédito não é suficiente para efetuar o pagamento solicitado.;2018-03-01 03:28:40.000;2018-02-28 23:28:37.000
57;09429293000100;38686;************1826;3000;1;Getnet;Débito à Vista;Maestro;Recusada;Instituição temporariamente fora do ar. A instituição que autoriza a transaÃ§Ã£o nÃ£o pode atender no momento. Banco Emissor IndisponÃ­vel.;2018-03-01 03:28:05.000;2018-03-01 00:28:05.000
58;10267408000188;23690;************7205;4580;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:27:38.000;2018-03-01 00:27:40.000
59;09429293000100;38687;************1826;3000;1;Getnet;Débito à Vista;Maestro;Recusada;Instituição temporariamente fora do ar. A instituição que autoriza a transaÃ§Ã£o nÃ£o pode atender no momento. Banco Emissor IndisponÃ­vel.;2018-03-01 03:27:24.000;2018-03-01 00:27:22.000
60;78728359000177;264;************1735;1600;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:25:27.000;2018-03-01 00:25:29.000
61;53154225007686;44503;************3903;1990;1;Redecard;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:25:08.000;2018-03-01 00:25:10.000
62;78728359000177;264;************2134;1440;1;Cielo;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:23:43.000;2018-03-01 00:23:46.000
63;30481457000126;39206;************9640;14676;2;Cielo;Crédito Parcelado Loja;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:24:03.000;2018-03-01 00:24:05.000
64;12698826000155;42517;************3579;11607;1;Stone;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:23:01.000;2018-03-01 00:17:42.000
65;54044573000146;28865;************7296;40900;1;Cielo;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:22:46.000;2018-03-01 00:22:48.000
66;30481457000126;39206;************5842;3439;1;Cielo;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:22:47.000;2018-03-01 00:22:49.000
67;21960725000100;37804;************2682;1500;1;Cielo;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:23:15.000;2018-03-01 00:23:17.000
68;10749204000183;9356;************9337;2550;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:20:17.000;2018-03-01 00:21:01.000
69;30481457000126;39206;************9852;3400;1;Redecard;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:19:51.000;2018-03-01 00:19:52.000
70;17872744000107;47128;************5826;500;1;Stone;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:18:34.000;2018-03-01 00:18:57.000
71;10749204000183;9356;************9132;1800;1;Cielo;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:18:33.000;2018-03-01 00:19:17.000
72;05812320000240;29962;************1126;21100;1;Cielo;Débito à Vista;Electron;Recusada;Instituição temporariamente fora do ar. A instituição que autoriza a transaÃ§Ã£o nÃ£o pode atender no momento. Banco Emissor IndisponÃ­vel.;2018-03-01 03:18:10.000;2018-03-01 00:19:06.000
73;30481457000126;39206;************7071;435;1;Redecard;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:18:38.000;2018-03-01 00:18:40.000
74;05812320000240;29962;************1126;21100;1;Cielo;Débito à Vista;Electron;Recusada;Instituição temporariamente fora do ar. A instituição que autoriza a transaÃ§Ã£o nÃ£o pode atender no momento. Banco Emissor IndisponÃ­vel.;2018-03-01 03:17:22.000;2018-03-01 00:18:17.000
