TransactionId;MerchantCnpj;CheckoutCode;CipheredCardNumber;AmountInCent;Installments;AcquirerName;PaymentMethod;CardBrandName;Status;StatusInfo;CreatedAt;AcquirerAuthorizationDateTime
162;50555051000158;22695;************7870;11914;1;Cielo;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:48:26.000;2018-02-28 23:49:10.000
163;11150641000220;31528;************122;1549;1;Redecard;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:48:51.000;2018-02-28 23:48:52.000
164;15593743000190;6555;************7242;2300;1;Getnet;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:48:23.000;2018-02-28 22:49:06.000
165;14950233000160;936;************5632;11700;1;Redecard;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:47:54.000;2018-02-28 23:47:55.000
166;70133582000160;40018;************7023;9421;1;Redecard;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:47:48.000;2018-02-28 23:48:31.000
167;15593743000602;31703;************9661;930;1;Getnet;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:47:46.000;2018-02-28 23:48:40.000
168;19005894000130;40798;************9045;6367;1;Redecard;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:48:28.000;2018-02-28 23:48:29.000
169;25914235000110;44905;************9694;590;1;Cielo;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:48:33.000;2018-02-28 23:48:35.000
170;25403113000169;38300;************3880;4548;1;Cielo;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:48:22.000;2018-02-28 23:48:24.000
171;57971160000871;44331;************8042;3440;1;Redecard;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:47:52.000;2018-02-28 23:48:35.000
172;30481457000126;39206;************9478;649;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:47:11.000;2018-02-28 23:47:13.000
173;19005894000130;40798;************3191;6367;1;Redecard;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:47:37.000;2018-02-28 23:47:38.000
174;03747723000147;39069;************5265;2000;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:46:43.000;2018-02-28 23:46:46.000
175;23688897000193;28492;************5189;16991;1;Stone;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:46:59.000;2018-02-28 23:46:37.000
176;10267408000188;23690;************1460;2000;1;Cielo;Crédito à Vista;Elo Credito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:46:42.000;2018-02-28 23:46:44.000
177;22895641000194;32724;************374;2050;1;Stone;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:45:44.000;2018-02-28 23:46:38.000
178;50555051000158;22695;************1143;4222;1;Cielo;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:45:18.000;2018-02-28 23:46:02.000
179;15593743000432;35431;************2845;1700;1;Getnet;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:45:59.000;2018-02-28 22:46:41.000
180;22895641000194;32724;************2540;10000;1;Stone;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:45:16.000;2018-02-28 23:46:10.000
181;15593743000190;6555;************343;2300;1;Getnet;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:45:25.000;2018-02-28 22:46:07.000
182;13705903000110;39601;************8578;1200;1;Stone;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:46:19.000;2018-02-28 23:46:20.000
183;15778229000129;41872;************7106;3875;1;Bin;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:45:38.000;2018-02-28 23:45:15.000
184;10649601000264;40910;************2115;267330;1;Bin;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:45:38.000;2018-02-28 23:45:34.000
185;18604555000108;35348;************9632;2150;1;Cielo;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:44:45.000;2018-02-28 23:45:29.000
186;25914235000110;44905;************7737;300;1;Cielo;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:45:31.000;2018-02-28 23:45:33.000
187;08555150000173;39940;************7106;500;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:44:57.000;2018-02-28 23:45:41.000
188;77888881000153;44589;************762;6626;1;Cielo;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:44:09.000;2018-02-28 23:44:11.000
189;11158594000180;26106;************2993;3149;1;Redecard;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:44:19.000;2018-02-28 23:44:20.000
190;21977101000197;25628;************3975;700;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:44:35.000;2018-02-28 23:44:37.000
191;05535694000185;37314;************3240;1000;1;Stone;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:44:32.000;2018-02-28 23:44:38.000
192;22895641000194;32724;************116;7150;1;Stone;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:43:59.000;2018-02-28 23:44:53.000
193;08861226000199;32614;************7869;1700;1;Cielo;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:43:51.000;2018-02-28 23:44:35.000
194;15593743000432;35431;************6101;11050;1;Getnet;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:43:13.000;2018-02-28 22:43:56.000
195;30481457000126;39206;************4337;737;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:44:36.000;2018-02-28 23:44:37.000
196;15593743000602;31703;************203;2450;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:43:56.000;2018-02-28 23:43:58.000
197;05027195005812;34895;************9128;7998;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:44:10.000;2018-02-28 23:44:12.000
198;26835009000106;4366;************8165;1000;1;Cielo;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:42:45.000;2018-02-28 23:42:48.000
199;11158594000180;26106;************2301;1309;1;Redecard;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:43:31.000;2018-02-28 23:43:32.000
200;05535694000185;37314;************6241;5000;1;Stone;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:42:44.000;2018-02-28 23:42:50.000
